lap,lap_time_s,lap_score,penalties_pylon,penalties_oob
1,27.109453,27.109453,0,0
2,25.209321,25.209321,0,0
3,28.108593,28.108593,0,0
4,30.623563,30.623563,0,0
5,46.713122,57.713122,2,1
6,24.717376,24.717376,0,0
